Timestamp,What is your age?,What is your gender?,In which area do you stay in western line in Mumbai?,Your yearly income in INR,Do you own a house?,Where is your house located?,What is the carpet area of your current house in square feet?,How many rooms do you have?,What is the current price of your house in INR?,What facilities are available in your current society?,What all facilities are currently available in your nearby area?,Are you planning to buy a new house in Mumbai(Western Line)?,Would you take a housing loan if you had to buy a house?,In which area you would like to buy a new house in Mumbai(Western Line) if you had to?,What type of house you would look for if you had to buy a house?,What would be your budget if you had to buy a house?,How much carpet area would you want(square feet) if you had to buy a house?,How many rooms do you want if you had to buy a house?,If you had to buy a house what would you buy?,What facilities you would like a society to feature?,What all facilities you want nearby your area?
4/7/2021 23:23:55,36 - 45,Female,Vile Parle,11lakh and above,Yes,Building,2250,4 BHK,64000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Lift","College, Hospitals, Medical, Railway Station, Market",No,Yes,Khar,Building,5Cr - 6Cr,1125,3 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Club house","School, College, Hospitals, Medical, Railway Station, Market"
4/10/2021 11:57:02,46 - 55,Female,Virar,7lakh - 9lakh,Yes,Building,600,1 BHK,8900000,"Car Parking, Lift","Hospitals, Medical, Railway Station, Market",No,Yes,Bhayandar,Building,80lakh-90lakh,750,2 BHK,New House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/8/2021 0:14:59,46 - 55,Female,Virar,7lakh - 9lakh,No,,,,,,,Yes,Yes,Virar,Building,20lakh - 30lakh,570,1 BHK,Resale House,"Maintenance Staff, Lift","Hospitals, Medical, Railway Station, Market"
4/8/2021 0:11:10,46 - 55,Male,Virar,7lakh - 9lakh,No,,,,,,,Yes,Yes,Virar,Building,40lakh - 50lakh,750,2 BHK,Resale House,"Car Parking, Maintenance Staff, Lift","Hospitals, Medical, Railway Station, Market"
4/8/2021 0:09:20,46 - 55,Female,Virar,7lakh - 9lakh,No,,,,,,,Yes,Yes,Virar,Building,30lakh - 40lakh,970,2 BHK,Resale House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market"
4/8/2021 0:08:16,25 - 35,Male,Virar,7lakh - 9lakh,No,,,,,,,Yes,Yes,Virar,Building,20lakh - 30lakh,570,1 BHK,New House,"Car Parking, Maintenance Staff, Lift","Hospitals, Medical, Railway Station, Market"
4/7/2021 10:25:59,25 - 35,Female,Virar,7lakh - 9lakh,Yes,Building,550,2 BHK,5800000,"Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Railway Station, Market",No,Yes,Malad,Building,70lakh-80lakh,600,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market"
4/5/2021 12:08:37,25 - 35,Male,Virar,5lakh - 7lakh,Yes,Building,580,2 BHK,4500000,"Lift, Club house","School, Hospitals, Medical, Railway Station, Market",No,Yes,Mira Road,Building,50lakh - 60lakh,600,3 BHK,Resale House,"24hr Water Supply, Maintenance Staff, Lift, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/5/2021 6:41:17,36 - 45,Female,Virar,3lakh - 5lakh,Yes,Building,386,1 BHK,2850000,"Lift, 24Hr Security",School,Yes,No,Borivali,Building,20lakh - 30lakh,450,2 BHK,New House,"24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/12/2021 22:47:31,46 - 55,Male,Prabhadevi,3lakh - 5lakh,Yes,Building,310,1 BHK,12900000,"Car Parking, Maintenance Staff, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market",Yes,No,Prabhadevi,Building,1Cr - 2Cr,1000,2 BHK,Resale House,"Car Parking, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
4/12/2021 22:53:01,46 - 55,Male,Mumbai Central,7lakh - 9lakh,Yes,Building,1115,2 BHK,5500000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gym","School, College, Hospitals, Medical, Railway Station, Market",No,No,Dadar,Building,3Cr - 4Cr,1240,2 BHK,Resale House,"Car Parking, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market"
4/12/2021 22:58:12,46 - 55,Male,Jogeshwari,9lakh - 11lakh,Yes,Building,1450,3 BHK,29900000,"24hr Water Supply, Gas Pipeline, Lift, 24Hr Security, Gym",Medical,No,No,Dadar,Building,3Cr - 4Cr,980,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market"
